iter	Passed	Remaining
432	1685	2206
433	1689	2203
434	1693	2199
435	1697	2195
436	1701	2191
437	1705	2187
438	1708	2183
439	1712	2179
440	1715	2174
441	1719	2170
442	1723	2167
443	1726	2162
444	1730	2158
445	1733	2153
446	1737	2149
447	1741	2145
448	1744	2141
449	1748	2136
450	1752	2132
451	1756	2129
452	1759	2124
453	1763	2120
454	1766	2116
455	1770	2112
456	1774	2107
457	1777	2103
458	1780	2099
459	1784	2095
460	1788	2091
461	1792	2087
462	1795	2082
463	1799	2079
464	1803	2075
465	1807	2071
466	1811	2067
467	1814	2062
468	1818	2059
469	1822	2055
470	1825	2050
471	1829	2046
472	1833	2042
473	1837	2038
474	1840	2034
475	1843	2029
476	1847	2025
477	1851	2021
478	1854	2017
479	1858	2013
480	1861	2008
481	1866	2005
482	1870	2001
483	1873	1997
484	1877	1993
485	1880	1989
486	1884	1985
487	1888	1981
488	1891	1976
489	1895	1972
490	1898	1968
491	1902	1964
492	1905	1959
493	1909	1955
494	1912	1951
495	1916	1947
496	1919	1942
497	1922	1938
498	1926	1933
499	1929	1929
500	1933	1925
501	1936	1921
502	1939	1916
503	1943	1912
504	1946	1908
505	1966	1920
506	1970	1916
507	1974	1911
508	1977	1907
509	1981	1903
510	1984	1898
511	1987	1894
512	1991	1890
513	1994	1885
514	1998	1881
515	2001	1877
516	2004	1872
517	2008	1868
518	2011	1864
519	2015	1860
520	2019	1856
521	2022	1852
522	2026	1848
523	2031	1845
524	2035	1841
525	2038	1837
526	2050	1840
527	2053	1835
528	2056	1831
529	2060	1827
530	2064	1823
531	2067	1818
532	2070	1814
533	2074	1810
534	2078	1806
535	2081	1801
536	2084	1797
537	2087	1793
538	2091	1789
539	2095	1784
540	2098	1780
541	2101	1776
542	2105	1771
543	2109	1768
544	2113	1764
545	2116	1759
546	2119	1755
547	2123	1751
548	2126	1747
549	2130	1742
550	2133	1738
551	2136	1734
552	2140	1730
553	2143	1725
554	2147	1721
555	2150	1717
556	2153	1712
557	2157	1709
558	2160	1704
559	2164	1700
560	2167	1696
561	2170	1691
562	2174	1687
563	2177	1683
564	2180	1678
565	2183	1674
566	2187	1670
567	2190	1666
568	2194	1661
569	2197	1657
570	2200	1653
571	2204	1649
572	2207	1645
573	2211	1641
574	2214	1636
575	2217	1632
576	2221	1628
577	2224	1624
578	2228	1620
579	2231	1616
580	2234	1611
581	2238	1607
582	2242	1603
583	2245	1599
584	2249	1595
585	2252	1591
586	2256	1587
587	2259	1583
588	2263	1579
589	2266	1574
590	2270	1570
591	2273	1567
592	2276	1562
593	2280	1558
594	2283	1554
595	2287	1550
596	2290	1546
597	2293	1542
598	2297	1537
599	2300	1533
600	2304	1529
601	2307	1525
602	2310	1521
603	2313	1517
604	2317	1512
605	2321	1509
606	2324	1505
607	2328	1501
608	2331	1496
609	2334	1492
610	2338	1488
611	2342	1484
612	2345	1480
613	2348	1476
614	2351	1472
615	2355	1468
616	2359	1464
617	2362	1460
618	2366	1456
619	2370	1452
620	2373	1448
621	2376	1444
622	2379	1440
623	2383	1436
624	2387	1432
625	2391	1428
626	2395	1424
627	2399	1421
628	2403	1417
629	2406	1413
630	2409	1409
631	2413	1405
632	2417	1401
633	2421	1397
634	2425	1393
635	2428	1389
636	2431	1385
637	2435	1381
638	2439	1378
639	2442	1374
640	2445	1369
641	2449	1365
642	2453	1361
643	2456	1357
644	2459	1353
645	2462	1349
646	2466	1345
647	2470	1341
648	2473	1337
649	2476	1333
650	2479	1329
651	2483	1325
652	2486	1321
653	2489	1317
654	2493	1313
655	2496	1309
656	2500	1305
657	2503	1301
658	2507	1297
659	2511	1293
660	2515	1289
661	2518	1286
662	2522	1282
663	2525	1278
664	2529	1274
665	2533	1270
666	2537	1266
667	2540	1262
668	2544	1258
669	2548	1255
670	2552	1251
671	2556	1247
672	2559	1243
673	2563	1240
674	2568	1236
675	2572	1233
676	2576	1229
677	2581	1225
678	2585	1222
679	2589	1218
680	2594	1215
681	2598	1211
682	2602	1208
683	2606	1204
684	2610	1200
685	2615	1197
686	2621	1194
687	2624	1190
688	2629	1186
689	2633	1182
690	2636	1178
691	2639	1174
692	2643	1170
693	2647	1167
694	2651	1163
695	2654	1159
696	2658	1155
697	2662	1152
698	2666	1148
699	2669	1144
700	2673	1140
701	2677	1136
702	2680	1132
703	2684	1128
704	2687	1124
705	2691	1120
706	2695	1117
707	2699	1113
708	2702	1109
709	2706	1105
710	2710	1101
711	2713	1097
712	2716	1093
713	2719	1089
714	2723	1085
715	2726	1081
716	2730	1077
717	2733	1073
718	2736	1069
719	2740	1065
720	2743	1061
721	2747	1057
722	2750	1053
723	2754	1049
724	2757	1045
725	2761	1042
726	2764	1038
727	2768	1034
728	2771	1030
729	2775	1026
730	2778	1022
731	2781	1018
732	2785	1014
733	2788	1010
734	2792	1006
735	2795	1002
736	2798	998
737	2801	994
738	2805	990
739	2809	986
740	2812	983
741	2815	979
742	2819	975
743	2822	971
744	2826	967
745	2829	963
746	2832	959
747	2836	955
748	2839	951
749	2843	947
750	2846	943
751	2850	939
752	2853	935
753	2856	932
754	2860	928
755	2863	924
756	2866	920
757	2869	916
758	2873	912
759	2876	908
760	2880	904
761	2883	900
762	2887	896
763	2891	893
764	2894	889
765	2897	885
766	2900	881
767	2904	877
768	2908	873
769	2911	869
770	2914	865
771	2917	861
772	2921	857
773	2924	854
774	2928	850
775	2931	846
776	2934	842
777	2938	838
778	2941	834
779	2945	830
780	2948	826
781	2951	822
782	2955	819
783	2958	815
784	2962	811
785	2965	807
786	2968	803
787	2972	799
788	2975	795
789	2979	791
790	2982	788
791	2986	784
792	2989	780
793	2992	776
794	2996	772
795	2999	768
796	3002	764
797	3006	760
798	3009	757
799	3012	753
800	3016	749
801	3020	745
802	3023	741
803	3026	737
804	3029	733
805	3033	730
806	3037	726
807	3040	722
808	3044	718
809	3048	714
810	3051	711
811	3055	707
812	3058	703
813	3062	699
814	3065	695
815	3069	692
816	3073	688
817	3077	684
818	3080	680
819	3084	677
820	3088	673
821	3092	669
822	3096	665
823	3100	662
824	3104	658
825	3107	654
826	3110	650
827	3113	646
828	3118	643
829	3122	639
830	3125	635
831	3128	631
832	3132	628
833	3136	624
834	3140	620
835	3143	616
836	3146	612
837	3151	609
838	3155	605
839	3158	601
840	3161	597
841	3165	594
842	3169	590
843	3172	586
844	3176	582
845	3179	578
846	3184	575
847	3188	571
848	3191	567
849	3194	563
850	3198	560
851	3202	556
852	3206	552
853	3209	548
854	3213	544
855	3217	541
856	3220	537
857	3224	533
858	3227	529
859	3232	526
860	3236	522
861	3239	518
862	3243	514
863	3247	511
864	3251	507
865	3255	503
866	3259	500
867	3264	496
868	3268	492
869	3272	488
870	3275	485
871	3280	481
872	3284	477
873	3287	473
874	3291	470
875	3296	466
876	3300	462
877	3304	459
878	3308	455
879	3312	451
880	3317	448
881	3320	444
882	3324	440
883	3328	436
884	3333	433
885	3337	429
886	3340	425
887	3345	421
888	3349	418
889	3353	414
890	3357	410
891	3361	407
892	3366	403
893	3370	399
894	3374	395
895	3379	392
896	3383	388
897	3387	384
898	3392	381
899	3396	377
900	3400	373
901	3404	369
902	3409	366
903	3413	362
904	3417	358
905	3421	354
906	3426	351
907	3430	347
908	3434	343
909	3438	340
910	3443	336
911	3447	332
912	3450	328
913	3454	325
914	3459	321
915	3462	317
916	3466	313
917	3469	309
918	3474	306
919	3478	302
920	3482	298
921	3485	294
922	3490	291
923	3494	287
924	3498	283
925	3501	279
926	3507	276
927	3511	272
928	3515	268
929	3519	264
930	3524	261
931	3527	257
932	3531	253
933	3534	249
934	3539	246
935	3543	242
936	3546	238
937	3550	234
938	3554	230
939	3558	227
940	3562	223
941	3565	219
942	3569	215
943	3573	211
944	3576	208
945	3580	204
946	3583	200
947	3588	196
948	3591	193
949	3594	189
950	3598	185
951	3602	181
952	3606	177
953	3610	174
954	3613	170
955	3617	166
956	3621	162
957	3625	158
958	3628	155
959	3632	151
960	3637	147
961	3640	143
962	3643	140
963	3647	136
964	3651	132
965	3655	128
966	3658	124
967	3662	121
968	3666	117
969	3670	113
970	3674	109
971	3677	105
972	3681	102
973	3686	98
974	3689	94
975	3693	90
976	3698	87
977	3701	83
978	3705	79
979	3709	75
980	3713	71
981	3717	68
982	3721	64
983	3724	60
984	3728	56
985	3732	52
986	3736	49
987	3739	45
988	3743	41
989	3747	37
990	3752	34
991	3756	30
992	3759	26
993	3764	22
994	3768	18
995	3771	15
996	3774	11
997	3779	7
998	3783	3
999	3787	0
