iter	RMSE
346	0.2426105556
347	0.2425353744
348	0.2423442396
349	0.2421281007
350	0.2419012432
351	0.2417940588
352	0.2415033066
353	0.2413157438
354	0.2410861884
355	0.2409068792
356	0.2406861534
357	0.2405058641
358	0.2401916152
359	0.240001873
360	0.2398968941
361	0.239669664
362	0.2394856753
363	0.2391577291
364	0.2389178914
365	0.2386276053
366	0.2383821671
367	0.2383233832
368	0.2380881425
369	0.2378699437
370	0.2376443864
371	0.2374370034
372	0.2373014327
373	0.2370288105
374	0.2369849301
375	0.2368626079
376	0.2366457986
377	0.2362905984
378	0.2361760988
379	0.2360207819
380	0.2357889125
381	0.2355402404
382	0.2353673176
383	0.2352363986
384	0.2349602516
385	0.2347069405
386	0.2346711348
387	0.2344360631
388	0.2341988599
389	0.2341159167
390	0.2340214047
391	0.2338592057
392	0.2336998546
393	0.233436697
394	0.233303904
395	0.2331045713
396	0.2328361872
397	0.2327044072
398	0.2324981677
399	0.232273476
400	0.2321124968
401	0.2319226614
402	0.2317463801
403	0.2315293751
404	0.2314197171
405	0.2312347773
406	0.231025035
407	0.2308782
408	0.2306794377
409	0.2305145389
410	0.2303197448
411	0.230115927
412	0.2297810151
413	0.2294887637
414	0.2292612885
415	0.2289697518
416	0.2287692222
417	0.22860503
418	0.2283180806
419	0.2282298656
420	0.2280055508
421	0.2278953925
422	0.2277785889
423	0.227609231
424	0.2274843546
425	0.2273121255
426	0.2270673641
427	0.2268741948
428	0.2266197586
429	0.226459458
430	0.2263890957
431	0.2261789096
432	0.2259560924
433	0.2257454838
434	0.2254848828
435	0.2252671094
436	0.2251002184
437	0.2249470303
438	0.2247620716
439	0.2245746299
440	0.2243783914
441	0.2242783019
442	0.2240504596
443	0.2239969398
444	0.2238271805
445	0.2237254557
446	0.2235905282
447	0.2234468447
448	0.2232702011
449	0.2230647704
450	0.2229238609
451	0.2227818624
452	0.2226245422
453	0.2224679694
454	0.2223216249
455	0.2222083786
456	0.2219879165
457	0.2218473395
458	0.221614426
459	0.2214302367
460	0.2212579773
461	0.2210838558
462	0.2210171203
463	0.220938108
464	0.2207938498
465	0.220620109
466	0.2204026279
467	0.2202720588
468	0.2201696597
469	0.2200256163
470	0.2198612225
471	0.2196953483
472	0.2194154314
473	0.2192932473
474	0.219083704
475	0.2190024844
476	0.2186192858
477	0.2183517141
478	0.2182182441
479	0.2180405305
480	0.217956479
481	0.2177645556
482	0.217607249
483	0.2174592877
484	0.21730931
485	0.217087041
486	0.2169351077
487	0.2167186056
488	0.2165622661
489	0.2163007663
490	0.2161952827
491	0.2161331522
492	0.2160174741
493	0.2158668254
494	0.2157707233
495	0.2156199814
496	0.2155089284
497	0.2152498067
498	0.2150287414
499	0.2148087354
500	0.2146111518
501	0.2145210303
502	0.2143670909
503	0.2142241152
504	0.2140508787
505	0.2139337347
506	0.2137860491
507	0.2136927869
508	0.2135580047
509	0.213384917
510	0.2132740305
511	0.213137064
512	0.2129038634
513	0.2128459214
514	0.2127624816
515	0.2125928803
516	0.2124245193
517	0.2121973168
518	0.2121110961
519	0.2119788363
520	0.211803656
521	0.2116777051
522	0.2115617347
523	0.2114743833
524	0.2113248011
525	0.2111170201
526	0.2110142119
527	0.2107974856
528	0.2107077167
529	0.2106120332
530	0.2104627118
531	0.2103803571
532	0.2102510874
533	0.2101950518
534	0.210069087
535	0.209953617
536	0.2098157024
537	0.2097098091
538	0.2096366123
539	0.2095282556
540	0.2095011189
541	0.2093160184
542	0.2091800602
543	0.2087845636
544	0.2086039773
545	0.2085058598
546	0.2083373056
547	0.2081640979
548	0.2080334665
549	0.2079243138
550	0.2078009634
551	0.2076755974
552	0.2074702158
553	0.2073944836
554	0.2072206899
555	0.2070905237
556	0.2070150402
557	0.2068325774
558	0.2066381707
559	0.2064982994
560	0.2063829552
561	0.2063053413
562	0.2061069197
563	0.2059781289
564	0.2058549383
565	0.2056878355
566	0.2055970333
567	0.2055238579
568	0.2053357528
569	0.2052487303
570	0.2050626306
571	0.2049875627
572	0.2047424106
573	0.2045882354
574	0.2044872161
575	0.2044234273
576	0.2042643436
577	0.2041455556
578	0.2039987609
579	0.2039381292
580	0.2038204513
581	0.2037306602
582	0.2035596829
583	0.2035015626
584	0.203320143
585	0.2031258297
586	0.202948159
587	0.2028025946
588	0.2026617296
589	0.2024885976
590	0.2023787003
591	0.2022502142
592	0.2022036739
593	0.2020410808
594	0.2018664569
595	0.2016933263
596	0.2016511591
597	0.2015268233
598	0.2014244926
599	0.2013062686
600	0.2011509659
601	0.2010849386
602	0.2009385606
603	0.2007619122
604	0.2005543341
605	0.2004374958
606	0.2003706003
607	0.2002554451
608	0.2000623537
609	0.1999276256
610	0.1997949896
611	0.199705814
612	0.1995666223
613	0.1994183302
614	0.1993528632
615	0.1993270446
616	0.1991572591
617	0.1989914113
618	0.1988229881
619	0.1987671748
620	0.1986112911
621	0.198472271
622	0.1983517007
623	0.1982520818
624	0.198230971
625	0.1981600612
626	0.1980043071
627	0.1979125689
628	0.1976541011
629	0.1975598046
630	0.1974074953
631	0.1972524647
632	0.1971469892
633	0.1970318031
634	0.196908264
635	0.1968290458
636	0.1966891196
637	0.1966097574
638	0.1964504591
639	0.1963251909
640	0.1961970296
641	0.1960152576
642	0.1958548258
643	0.1957448167
644	0.1956398276
645	0.1954618543
646	0.1953480093
647	0.1951937577
648	0.1951118823
649	0.194941179
650	0.1947846607
651	0.1947220735
652	0.1946453461
653	0.1945014718
654	0.1943795354
655	0.1942444136
656	0.1940412019
657	0.19398617
658	0.1938532031
659	0.1937227677
660	0.1936136371
661	0.1935038274
662	0.1933286065
663	0.1932340345
664	0.1931167753
665	0.1930002659
666	0.1928822554
667	0.1927564412
668	0.1926077074
669	0.1925543545
670	0.1924415131
671	0.1923051216
672	0.1921261425
673	0.192016046
674	0.191846494
675	0.1917071668
676	0.1915436477
677	0.1913456213
678	0.1912365046
679	0.1911615197
680	0.1910808311
681	0.1909798603
682	0.1908870746
683	0.1907613643
684	0.1906205739
685	0.1905076135
686	0.1904275767
687	0.1903169954
688	0.1901768475
689	0.1900099025
690	0.1898735385
691	0.1897423713
692	0.189638863
693	0.1894958265
694	0.189401307
695	0.1893039299
696	0.1892293517
697	0.1891731185
698	0.189051291
699	0.1889114394
700	0.1888117555
701	0.1886847693
702	0.1885988359
703	0.1884794426
704	0.1884103813
705	0.1882898912
706	0.1882315376
707	0.1881369924
708	0.1879736747
709	0.1877756154
710	0.1876142074
711	0.1874454341
712	0.1872740572
713	0.1872524225
714	0.1871377317
715	0.1870489637
716	0.1869109927
717	0.1867644562
718	0.1866470452
719	0.1865930194
720	0.1864565038
721	0.1863495127
722	0.1861974589
723	0.1860480199
724	0.1859015413
725	0.1857897784
726	0.1856749611
727	0.1855634687
728	0.185517248
729	0.1854285857
730	0.1852880129
731	0.1852026081
732	0.1850745588
733	0.1850570032
734	0.1849491042
735	0.1848771436
736	0.1847917571
737	0.1846713389
738	0.1845403235
739	0.1844756333
740	0.184365681
741	0.1842403492
742	0.1841126745
743	0.1838101918
744	0.1837171794
745	0.1836036396
746	0.1835082788
747	0.183383182
748	0.1832418738
749	0.1831103173
750	0.1830664105
751	0.1829380611
752	0.1828499668
753	0.1826680078
754	0.182564439
755	0.1825137765
756	0.1823368717
757	0.182182693
758	0.1820757408
759	0.1819423672
760	0.1818420901
761	0.1817087687
762	0.1816235815
763	0.1815343385
764	0.1814185667
765	0.1812831825
766	0.1811673248
767	0.1810350845
768	0.1809286747
769	0.1808035835
770	0.1806772578
771	0.18050573
772	0.1803765484
773	0.1803066365
774	0.1801966597
775	0.1801169089
776	0.1800585696
777	0.1798791994
778	0.1797972502
779	0.1796777621
780	0.1795480629
781	0.1794331352
782	0.1793712618
783	0.1792723766
784	0.1791300944
785	0.1790092104
786	0.1788985794
787	0.1787522375
788	0.1786608421
789	0.1785099738
790	0.1784262687
791	0.1784063309
792	0.1782897106
793	0.1782042912
794	0.1780978721
795	0.1779626421
796	0.1778018208
797	0.1777242804
798	0.1776968503
799	0.1776032089
800	0.1774734941
801	0.1773872043
802	0.177317617
803	0.1772146181
804	0.1771242986
805	0.1769403053
806	0.1768882403
807	0.1768027247
808	0.1766463652
809	0.1765956326
810	0.1764757929
811	0.1763482247
812	0.1761113835
813	0.1759985561
814	0.1759252874
815	0.1758382955
816	0.1758109053
817	0.1756759355
818	0.1756356897
819	0.1755344047
820	0.1754196031
821	0.1753337786
822	0.1752409639
823	0.1751142065
824	0.1750669099
825	0.1750304316
826	0.1749884796
827	0.1748772991
828	0.174809261
829	0.1746907467
830	0.1745260793
831	0.1744410465
832	0.1743341191
833	0.1742568183
834	0.1741952297
835	0.1740779587
836	0.1738493548
837	0.1737123885
838	0.1736467818
839	0.1735389119
840	0.1734339791
841	0.1733394977
842	0.1733026496
843	0.1732151571
844	0.1731665596
845	0.1731207308
846	0.1730007067
847	0.1728445915
848	0.1727377461
849	0.1726122515
850	0.1725228486
851	0.1724080315
852	0.1722846301
853	0.1721595013
854	0.1720094887
855	0.1719279183
856	0.1717741335
857	0.1716513768
858	0.1715347939
859	0.1715242036
860	0.171366867
861	0.1712960957
862	0.1711494005
863	0.1710670949
864	0.1709305215
865	0.1708345842
866	0.1707241636
867	0.1706436684
868	0.1705281374
869	0.1704637915
870	0.1703084868
871	0.1701895683
872	0.170097348
873	0.1700607383
874	0.1699693875
875	0.1697972845
876	0.1696809854
877	0.1696381818
878	0.1695571903
879	0.1695275532
880	0.1694614406
881	0.169412288
882	0.1693352497
883	0.1692023105
884	0.1691257647
885	0.1690202084
886	0.1689143329
887	0.1688043118
888	0.1687188357
889	0.1686458124
890	0.168631578
891	0.1685606359
892	0.1685047753
893	0.1684164663
894	0.1683281769
895	0.1682394215
896	0.1681150912
897	0.167966596
898	0.1678757045
899	0.1677445635
900	0.1676344073
901	0.1674851842
902	0.1673376661
903	0.1672597922
904	0.1671912981
905	0.1670815304
906	0.1669741435
907	0.1668387792
908	0.166774087
909	0.1667127302
910	0.1666561043
911	0.1665596104
912	0.1664805111
913	0.1663564331
914	0.1661879731
915	0.1660985196
916	0.1660607458
917	0.1659997857
918	0.1658901537
919	0.1658070008
920	0.1657054095
921	0.1656456727
922	0.1655291088
923	0.1654434689
924	0.1653988139
925	0.1652912084
926	0.1651594224
927	0.1650616318
928	0.1649366357
929	0.1648727876
930	0.1648440676
931	0.1647035318
932	0.1646389609
933	0.1645775495
934	0.1645199954
935	0.1644032011
936	0.1643517525
937	0.164225971
938	0.1641250614
939	0.1640349725
940	0.1639313783
941	0.1638682543
942	0.1637735594
943	0.1637356596
944	0.1636845438
945	0.1636025275
946	0.1635431397
947	0.1634300057
948	0.1633309837
949	0.1632080219
950	0.1631082174
951	0.1629930931
952	0.1629024574
953	0.162764713
954	0.1626960121
955	0.1625624897
956	0.1624240108
957	0.1623487292
958	0.1622957538
959	0.1622407985
960	0.1621317736
961	0.1620556767
962	0.1619022782
963	0.1617265279
964	0.1616410726
965	0.1615360008
966	0.1613957357
967	0.1612752678
968	0.1612096281
969	0.1611088536
970	0.1609959781
971	0.1608589348
972	0.1606632357
973	0.1605634092
974	0.1604910346
975	0.1604129313
976	0.1603178274
977	0.1602032612
978	0.1601068573
979	0.1600126996
980	0.159927167
981	0.1598085627
982	0.1596733796
983	0.1595228301
984	0.159396568
985	0.1593597936
986	0.1592536916
987	0.1591569706
988	0.1591258015
989	0.1590345771
990	0.1589582293
991	0.158847387
992	0.1587674864
993	0.1586544679
994	0.1585981733
995	0.1585102132
996	0.1584301759
997	0.1583651615
998	0.1582789235
999	0.1581319821
